Director,Country
Taylor Sheridan,United States
Patrick Hughes,United Kingdom
Craig Gillespie,Australia
David Leitch,United States
Alex Kurtzman,United States
Joe Wright,United Kingdom
Aaron Sorkin,United States
James Franco,United States
Steven Soderbergh,United States
Chris McKay,United States
Nikolaj Arcel,Denmark
John Krasinski,United States
Peter Farrelly,United States
Bob Persichetti,United States
Bradley Cooper,United States
Susanne Bier,Denmark
Ari Aster,United States
Spike Lee,United States
John Francis Daley,United States
Roar Uthaug,Norway
Leigh Whannell,Australia
Jon Turteltaub,United States
Aneesh Chaganty,India
Travis Knight,United States
Phil Johnston,United States
Stefano Sollima,Italy
David Gordon Green,United States
Corin Hardy,United Kingdom
Jeff Tomsic,United States
Christian Rivers,New Zealand
David F. Sandberg,Sweden
Noah Baumbach,United States
Robert Rodriguez,United States
Benny Safdie,United States
Josh Cooley,United States
James Gray,United States
Vince Gilligan,United States
Galder Gaztelu-Urrutia,Spain
Simon Kinberg,United Kingdom
Mike Flanagan,United States
Dexter Fletcher,United Kingdom
Michael Dougherty,United States
Rob Letterman,United States
Matt Bettinelli-Olpin,United States
Fernando Meirelles,Brazil
Sergio Pablos,Spain
Kyle Newacheck,United States
Cathy Yan,China
Sam Hargrave,United States
Adil El Arbi,Belgium
Harry Bradbeer,United Kingdom
Gina Prince-Bythewood,United States
Niki Caro,New Zealand
Jason Woliner,United States
Mukesh Chhabra,India
Antonio Campos,United States
Jeff Fowler,United States
Max Barbakow,United States
J Blakeson,United Kingdom
Craig Zobel,United States
Henry Joost,Germany
Aaron Schneider,United States
Ric Roman Waugh,United States
Mahesh Bhatt,India
William Eubank,United States
Charlie Kaufman,United States
Dave Wilson,United States
Thomas Kail,United States
Sudha Kongara,India
David Dhawan,India
Barbara Bialowas,Poland
Emerald Fennell,United Kingdom
Stephen Gaghan,United States
Lawrence Raghavendra,India
John Whitesell,United States
Judd Apatow,United States
Chris Sanders,United States
Steven Brill,United States
Derrick Borte,Germany
Chloé Zhao,China
Michael Matthews,South Africa
